id;policy_new_or_existing;policy_no_existing;insurance_company_existing;date_of_expire_existing;idv;ncb;value_of_vichle;purchase_date;vichle_manuf_comp;policy_tpa;policy_info_gen_key;insurance_form_id
1;false;Human Ghana;80744;2019-05-20T05:14:46;granular Direct contextually-based;synergies copying;86073;2019-05-20T00:51:42;Hat;supply-chains magenta;11986;3
2;false;Directives;32320;2019-05-20T02:55:34;Oklahoma facilitate;Engineer;96244;2019-05-20T02:15:05;Moroccan Dirham;capability zero tolerance Computers;60956;10
3;true;Small Plastic Pants Investor;23956;2019-05-19T15:50:22;Lebanon;Designer Persistent;67213;2019-05-20T06:14:09;24/7 Re-contextualized cross-platform;invoice withdrawal;53577;9
4;false;hacking installation magenta;4077;2019-05-19T11:34:33;neural-net red;Buckinghamshire Future-proofed deposit;17436;2019-05-19T09:36:14;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;87733;7
5;false;deposit;81722;2019-05-19T08:36:16;Borders content-based;Tasty Customer Human;63310;2019-05-20T03:38:51;even-keeled Saint Helena Pound;Internal AI optical;64203;9
6;false;Cheese Dynamic Home Loan Account;919;2019-05-19T23:14:30;Branding;Home Gloves Latvia;69189;2019-05-19T21:24:51;Manager Fish;Networked;32539;2
7;true;payment calculating;65761;2019-05-20T00:46:59;Benin Berkshire;dedicated Persevering;97301;2019-05-19T08:40:59;Cambridgeshire Investor;cross-platform Borders;57690;7
8;false;white sensor local;2431;2019-05-19T13:43:52;Intelligent Frozen Sausages Villages;Human;37015;2019-05-19T14:13:53;Factors;architectures;96665;6
9;true;SDD disintermediate reinvent;85113;2019-05-20T01:43:59;Bedfordshire;Maryland Configuration;69602;2019-05-19T09:51:22;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;87737;4
10;true;Belize Dollar Sudanese Pound real-time;29359;2019-05-20T01:03:37;schemas Synergistic Personal Loan Account;Avon;50151;2019-05-19T17:06:25;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;9398;5
